
Transverse field,Frequency,T1z,T1y,T2z,T2y
0.0,3200000000.0,0.2455792833629207,0.25017985008152294,0.2455792833629207,0.25017985008152294
3978.8735772973837,3200000000.0,0.24261166540964668,0.24911192474366328,0.24262064768404912,0.24911123938600557
19894.367886486918,3200000000.0,0.012262614955404018,0.004622951262631155,0.01226326663207694,0.004621689137289416
43767.60935027122,3200000000.0,0.011786652091724102,0.004178972152207818,0.011689015234886142,0.004204242528138952
87535.21870054243,3200000000.0,0.009242672144608178,0.0028316041725874493,0.009278069928642505,0.0028783745547116104
175070.43740108487,3200000000.0,0.006368839865337868,0.0024353150104858825,0.006442126144241066,0.002472557018456918
0.0,3500000000.0,0.6909155356680048,0.7094427151566214,0.6909155356680048,0.7094427151566214
3978.8735772973837,3500000000.0,0.6990450199204339,0.6884001733820925,0.6990560667327466,0.6883846290114031
19894.367886486918,3500000000.0,0.016928430863100755,0.03284444972361187,0.044409008725585494,0.06093938605877111
43767.60935027122,3500000000.0,0.009951764611656332,0.0070246130930653235,0.022191271916634024,0.015516679242113083
87535.21870054243,3500000000.0,0.008104582169188341,0.0075770163912723615,0.015812480686250425,0.015380916058842765
175070.43740108487,3500000000.0,0.0034598487711655205,0.003966706684708437,0.00706944762096254,0.00808395354769753
0.0,3800000000.0,0.6802500690362786,0.6959731917174667,0.6802500690362786,0.6959731917174667
3978.8735772973837,3800000000.0,0.6967719682055209,0.7087088231905982,0.6832079484608143,0.7086806996908208
19894.367886486918,3800000000.0,0.4388781220220991,0.46122175818230976,0.5167625599356975,0.5431498981464531
43767.60935027122,3800000000.0,0.0010895911810168129,0.001061081217107234,0.002124235474047471,0.0019282601118431077
87535.21870054243,3800000000.0,0.000377912229693701,0.0004986157061469782,0.0007120471253341533,0.0010485280237299153
175070.43740108487,3800000000.0,0.00037659663393107835,0.0005214044491880325,0.0005987157073805864,0.0008678987206987011
0.0,4000000000.0,0.548619358289392,0.5672702902424211,0.548619358289392,0.5672702902424211
3978.8735772973837,4000000000.0,0.549820615855733,0.559377503312363,0.5497857234251501,0.5593732110004865
19894.367886486918,4000000000.0,0.43473044187288473,0.4320091514983469,0.4443233121565985,0.43250597816286096
43767.60935027122,4000000000.0,0.04854665986765674,0.051082241546210036,0.08019965478963428,0.08381946362675918
87535.21870054243,4000000000.0,0.0017307997224688169,0.0009142338979890186,0.0033294019239469815,0.001913589964160242
175070.43740108487,4000000000.0,0.00046077847183805166,0.000396651933540994,0.0008765950348251998,0.0008270410445447454

